Frame,Rz,Ry,Rx,Tx,Ty,Tz
249534,-33.5893568,-40.2935562,78.8862422,18.077,-78.404,-110.997
249542,-33.5901137,-40.293422,78.8877883,18.079,-78.404,-110.999
249550,-33.5898899,-40.293413,78.887405,18.079,-78.403,-110.999
249558,-33.5902115,-40.2931844,78.8883222,18.082,-78.404,-111
249566,-33.5911136,-40.2932161,78.889874,18.083,-78.404,-111.003
249574,-33.5912315,-40.2936846,78.8893724,18.083,-78.404,-111.001
249582,-33.5904769,-40.2932601,78.888678,18.081,-78.402,-110.999
249590,-33.5907574,-40.2935749,78.8886979,18.082,-78.403,-110.999
249598,-33.589986,-40.2935931,78.887302,18.079,-78.402,-110.997
249606,-33.5905347,-40.294113,78.8874865,18.078,-78.402,-110.997
249614,-33.5906978,-40.2945778,78.8870705,18.076,-78.401,-110.997
249622,-33.5898994,-40.293946,78.8866132,18.076,-78.402,-110.998
249630,-33.5904859,-40.2947948,78.8863654,18.074,-78.401,-110.998
249638,-33.591361,-40.2955545,78.8867648,18.074,-78.401,-110.998
249646,-33.592246,-40.2963177,78.8871765,18.074,-78.401,-110.998
249654,-33.5918525,-40.2954034,78.8878657,18.074,-78.399,-111.001
249662,-33.5930884,-40.2963862,78.8885666,18.074,-78.399,-111
249670,-33.5943223,-40.2973777,78.8892505,18.074,-78.399,-110.999
249678,-33.5910624,-40.2945606,78.8877432,18.078,-78.402,-111.004
249686,-33.5895894,-40.2934129,78.8868721,18.078,-78.403,-111.005
249694,-33.5890969,-40.29259,78.8872472,18.08,-78.403,-111.007
249702,-33.5896371,-40.2931363,78.8873764,18.081,-78.404,-111.006
249710,-33.5893308,-40.2929363,78.8871367,18.08,-78.403,-111.004
249718,-33.5883759,-40.2922448,78.8864921,18.081,-78.404,-111.004
249726,-33.5871228,-40.2913599,78.8856123,18.081,-78.405,-111.004
249734,-33.5858659,-40.2904772,78.8847221,18.082,-78.405,-111.003
249742,-33.5855394,-40.290823,78.8836183,18.082,-78.408,-111.002
249750,-33.5854433,-40.2906881,78.8836526,18.082,-78.406,-111
249758,-33.5863758,-40.2916015,78.8839206,18.082,-78.406,-110.998
249766,-33.5875651,-40.2927075,78.884352,18.081,-78.405,-110.994
249774,-33.5881525,-40.2935192,78.8841623,18.081,-78.405,-110.992
249782,-33.5884966,-40.2941179,78.8838643,18.079,-78.404,-110.99
249790,-33.588052,-40.2934782,78.8840462,18.081,-78.405,-110.99
249798,-33.5881038,-40.2938794,78.8835295,18.08,-78.405,-110.989
249806,-33.5883772,-40.2938139,78.8841136,18.083,-78.406,-110.989
249814,-33.588654,-40.2937505,78.8847008,18.085,-78.406,-110.988
249822,-33.5884452,-40.2936933,78.8844173,18.084,-78.406,-110.99
249830,-33.5882646,-40.2938465,78.8838645,18.084,-78.407,-110.989
249838,-33.5880911,-40.2940106,78.8833077,18.084,-78.408,-110.989
249846,-33.5869429,-40.2923161,78.8838423,18.085,-78.407,-110.991
249854,-33.5857932,-40.2906125,78.884388,18.087,-78.406,-110.993
249862,-33.5865489,-40.2917933,78.8839366,18.086,-78.407,-110.99
249870,-33.5869074,-40.2922195,78.8839259,18.085,-78.408,-110.988
249878,-33.5864848,-40.2919022,78.8836578,18.086,-78.408,-110.988
249886,-33.5854449,-40.2912118,78.8828608,18.086,-78.41,-110.99
249894,-33.5850229,-40.2906167,78.8830152,18.086,-78.409,-110.99
249902,-33.5846088,-40.2900309,78.8831696,18.086,-78.409,-110.989
249910,-33.5866803,-40.2923233,78.8833655,18.084,-78.407,-110.984
249918,-33.5857707,-40.2914886,78.8830186,18.085,-78.407,-110.985
249926,-33.5667074,-40.2777168,78.8700958,18.085,-78.419,-111.024
249934,-33.5797554,-40.2632977,78.9151376,18.114,-78.239,-111.252
249942,-34.6033024,-40.7737182,79.938021,18.451,-77.191,-110.672
249950,-35.4902843,-41.1640466,80.8740794,17.397,-78.037,-110.434
249958,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28
249966,-37.1549434,-41.4724249,83.1950466,17.077,-77.853,-111.642
249974,-36.4101234,-39.8485832,84.4363051,19.196,-77.616,-117.294
249982,-37.8324571,-40.4312522,85.8842887,18.543,-77.377,-116.742
249990,-39.9392089,-41.6862293,87.3276219,17.209,-77.464,-114.462
249998,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28
250006,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28
250014,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28
250022,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28
250030,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28
250038,-45.5556157,-41.7183639,95.5551391,17.902,-76.271,-122.633
250046,-49.13387,-43.8148965,97.323222,15.528,-75.791,-117.196
250054,-50.3305183,-43.5586299,99.2422673,16.15,-74.453,-119.473
250062,-49.8488394,-43.0954265,99.2887559,16.324,-76.24,-122.573
250070,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28,-3.70E+28
250078,-54.3904081,-44.7538789,102.5934092,14.934,-74.342,-122.111
250086,-54.1017083,-44.4656796,102.6467237,15.793,-74.827,-122.357
250094,-53.819465,-44.318846,102.510909,15.948,-74.486,-122.583
250102,-53.1850392,-44.2241676,101.8720708,15.992,-75.039,-122.82
250110,-53.2347562,-44.3798674,101.7146225,15.677,-75.036,-122.209
250118,-53.3765246,-44.4505136,101.788893,15.622,-74.952,-122.205
250126,-53.2696259,-44.4321254,101.6841053,15.603,-75.006,-122.281
250134,-53.1361463,-44.4088484,101.5534053,15.53,-75.072,-122.348
250142,-53.0421766,-44.3677543,101.4958117,15.521,-75.153,-122.454
250150,-53.0722031,-44.3819528,101.5127312,15.478,-75.066,-122.448
250158,-53.1297257,-44.3849632,101.5789896,15.456,-74.937,-122.477
250166,-53.1809949,-44.376209,101.6540027,15.443,-74.783,-122.511
250174,-53.2496929,-44.3977701,101.7078179,15.421,-74.643,-122.508
250182,-53.451325,-44.4355641,101.9009607,15.43,-74.363,-122.464
250190,-53.6464821,-44.4888199,102.0639219,15.406,-74.102,-122.381
250198,-53.809734,-44.5295671,102.205062,15.413,-73.904,-122.314
250206,-54.0237189,-44.6065108,102.3566473,15.379,-73.631,-122.157
250214,-54.1284086,-44.6639402,102.4030815,15.352,-73.522,-122.033
250222,-54.1266612,-44.6988502,102.3524822,15.322,-73.566,-121.979
