Frame,Rz,Ry,Rx,Tx,Ty,Tz,Tz
2215622,6.5136885,6.4781786,90.3138778,-1.682,-43.045,-83.883,-3.70E+28
2215630,6.5135108,6.4779731,90.3141322,-1.681,-43.045,-83.883,-3.70E+28
2215638,6.5133203,6.4777545,90.3143899,-1.68,-43.044,-83.883,-3.70E+28
2215646,6.5144249,6.478875,90.3141968,-1.681,-43.045,-83.884,-3.70E+28
2215654,6.5155296,6.4799955,90.3140036,-1.682,-43.046,-83.885,-3.70E+28
2215662,6.5141423,6.4786497,90.3137028,-1.681,-43.045,-83.883,-3.70E+28
2215670,6.5129906,6.4774472,90.3142083,-1.682,-43.044,-83.883,-3.70E+28
2215678,6.5134783,6.4779048,90.3144511,-1.682,-43.045,-83.884,-3.70E+28
2215686,6.5147417,6.4791681,90.3143914,-1.682,-43.046,-83.887,-3.70E+28
2215694,6.513632,6.4781029,90.3140496,-1.681,-43.045,-83.883,-3.70E+28
2215702,6.5133609,6.4778232,90.3141394,-1.682,-43.045,-83.883,-3.70E+28
2215710,6.5130836,6.4775363,90.3142381,-1.683,-43.046,-83.884,-3.70E+28
2215718,6.5150851,6.4795373,90.3141461,-1.681,-43.046,-83.885,-3.70E+28
2215726,6.5151141,6.4795511,90.3142793,-1.681,-43.046,-83.886,-3.70E+28
2215734,6.5155047,6.4799194,90.3144582,-1.683,-43.046,-83.887,-3.70E+28
2215742,6.5160712,6.48048,90.3144836,-1.682,-43.046,-83.888,-3.70E+28
2215750,6.5168393,6.4812727,90.3142284,-1.683,-43.047,-83.888,-3.70E+28
2215758,6.5150329,6.4794344,90.3145975,-1.682,-43.046,-83.885,-3.70E+28
2215766,6.514615,6.4790318,90.314483,-1.682,-43.046,-83.884,-3.70E+28
2215774,6.5149817,6.4793727,90.3146929,-1.682,-43.046,-83.885,-3.70E+28
2215782,6.5150025,6.4793525,90.3150563,-1.681,-43.045,-83.885,-3.70E+28
2215790,6.5370798,6.5009398,90.3183208,-1.707,-43.047,-83.929,-3.70E+28
2215798,6.4774534,6.4506117,90.2384247,-1.718,-43.074,-83.577,-3.70E+28
2215806,6.4875417,6.4567968,90.2727526,-1.673,-43.051,-83.654,-3.70E+28
2215814,6.5168765,6.4836349,90.2936327,-1.691,-43.043,-83.742,-3.70E+28
2215822,6.5378002,6.5016367,90.3184938,-1.682,-43.032,-83.81,-3.70E+28
2215830,6.5163776,6.4809656,90.3128813,-1.711,-43.02,-83.764,-3.70E+28
2215838,6.4816479,6.4485823,90.293659,-1.729,-43.012,-83.687,-3.70E+28
2215846,6.4847612,6.451237,90.2976,-1.719,-43.01,-83.723,-3.70E+28
2215854,6.5179018,6.4819186,90.3178675,-1.71,-43.007,-83.815,-3.70E+28
2215862,6.5171219,6.4832834,90.2989078,-1.71,-43.031,-83.77,-3.70E+28
2215870,6.5002751,6.4665559,90.298622,-1.704,-43.026,-83.735,-3.70E+28
2215878,6.5024304,6.4679526,90.305258,-1.711,-43.02,-83.756,-3.70E+28
2215886,6.5053444,6.4704702,90.3086383,-1.712,-43.016,-83.769,-3.70E+28
2215894,6.5102296,6.4749279,90.3121977,-1.716,-43.012,-83.782,-3.70E+28
2215902,6.5137672,6.4783221,90.3132994,-1.711,-43.014,-83.782,-3.70E+28
2215910,6.5203944,6.4651671,90.4883974,-1.761,-42.968,-83.939,-3.70E+28
2215918,6.5370151,6.4628916,90.6547808,-1.763,-42.972,-84.151,-3.70E+28
2215926,6.5784044,6.4828084,90.8405078,-1.713,-42.972,-84.47,-3.70E+28
2215934,6.6106636,6.4955476,91.0086662,-1.696,-42.986,-84.669,-3.70E+28
2215942,6.6316337,6.4895309,91.2436991,-1.717,-42.965,-84.814,-3.70E+28
2215950,6.670411,6.5081586,91.413875,-1.739,-42.967,-84.987,-3.70E+28
2215958,6.6999236,6.5312812,91.4637319,-1.655,-43.005,-85.123,-3.70E+28
2215966,6.7016247,6.5345935,91.4492026,-1.644,-43.027,-85.13,-3.70E+28
