Frame,Rz,Ry,Rx,Tx,Ty,Tz
326694,-27.0466232,-23.8790533,97.3566548,-22.52,-23.621,-83.673
326702,-27.0434394,-23.8802062,97.3468858,-22.522,-23.626,-83.649
326710,-27.0514367,-23.8839074,97.355261,-22.528,-23.616,-83.659
326718,-27.0236214,-23.8542197,97.3673378,-22.513,-23.624,-83.702
326726,-27.0866258,-23.9225179,97.3374473,-22.599,-23.569,-83.583
326734,-27.0333707,-23.856764,97.382375,-22.602,-23.551,-83.698
326742,-27.1092656,-23.9460958,97.3290996,-22.628,-23.574,-83.46
326750,-27.1698065,-23.9087382,97.5520348,-22.595,-23.582,-83.624
326758,-27.3723276,-23.9359312,97.9235536,-22.676,-23.531,-83.932
326766,-27.5926242,-23.9844764,98.2778178,-22.738,-23.493,-84.165
326774,-27.6018054,-23.9127242,98.4723062,-22.66,-23.525,-84.398
326782,-27.6056796,-23.9268395,98.4461418,-22.661,-23.542,-84.355
326790,-27.6191411,-23.944794,98.4310962,-22.658,-23.548,-84.323
326798,-27.6409583,-23.9696905,98.4169811,-22.668,-23.546,-84.285
326806,-27.6401679,-23.9685466,98.4180812,-22.666,-23.547,-84.285
326814,-27.6369523,-23.9638278,98.4227158,-22.666,-23.543,-84.294
326822,-27.6046537,-23.9279252,98.4413041,-22.649,-23.538,-84.336
326830,-27.546632,-23.8727055,98.4521419,-22.633,-23.541,-84.378
326838,-27.6695045,-24.0083079,98.3838568,-22.685,-23.548,-84.14
326846,-27.7507512,-24.0272683,98.5106081,-22.696,-23.54,-84.152
326854,-27.8999057,-24.0323538,98.814158,-22.741,-23.497,-84.351
326862,-28.0721878,-23.9786841,99.3069924,-22.729,-23.457,-84.833
326870,-28.1220698,-23.9535953,99.4724248,-22.697,-23.49,-85.018
326878,-28.1721117,-24.0123172,99.4345566,-22.723,-23.496,-84.922
326886,-28.1892876,-24.0307021,99.4258825,-22.735,-23.492,-84.894
326894,-28.18742,-24.0256664,99.4341821,-22.732,-23.491,-84.91
326902,-28.1755177,-24.0109219,99.445055,-22.726,-23.489,-84.937
326910,-28.1579276,-23.993977,99.449388,-22.715,-23.494,-84.962
326918,-28.1943366,-24.0250321,99.4501616,-22.759,-23.444,-84.922
326926,-28.1809027,-23.9972557,99.4894402,-22.8,-23.406,-84.96
326934,-28.1727369,-24.0153809,99.4284362,-22.764,-23.466,-84.787
326942,-28.2539226,-24.0213884,99.5832502,-22.747,-23.457,-84.866
326950,-28.4919749,-24.0531201,100.0001302,-22.828,-23.423,-85.164
326958,-28.7546984,-24.0602983,100.5224596,-22.817,-23.385,-85.615
326966,-28.7973526,-24.060259,100.6096587,-22.792,-23.42,-85.7
326974,-28.7667408,-24.0322336,100.6147695,-22.775,-23.428,-85.717
326982,-28.7751445,-24.0406087,100.6117211,-22.78,-23.422,-85.71
326990,-28.7884464,-24.0542441,100.6059864,-22.785,-23.424,-85.695
326998,-28.8025851,-24.0687332,100.5999076,-22.796,-23.423,-85.679
327006,-28.8065431,-24.070516,100.6036853,-22.796,-23.421,-85.678
327014,-28.8499018,-24.1024145,100.615245,-22.845,-23.366,-85.645
327022,-28.7929891,-24.0186473,100.7011428,-22.85,-23.354,-85.817
327030,-28.8770558,-24.0968637,100.6838874,-22.812,-23.397,-85.607
327038,-28.9334361,-24.0991016,100.7931015,-22.777,-23.433,-85.583
327046,-29.1814696,-24.099613,101.293104,-22.868,-23.388,-85.965
327054,-29.5294503,-24.1416432,101.8877193,-22.906,-23.293,-86.408
327062,-29.5510658,-24.095725,102.0405395,-22.856,-23.306,-86.616
327070,-29.5284007,-24.0794434,102.0345945,-22.85,-23.309,-86.626
327078,-29.5416213,-24.0981012,102.0161153,-22.855,-23.316,-86.592
327086,-29.5731414,-24.131085,101.9996494,-22.869,-23.316,-86.546
327094,-29.5828655,-24.1400149,101.9975574,-22.872,-23.314,-86.533
327102,-29.6620589,-24.2134591,101.9788649,-22.959,-23.249,-86.461
327110,-29.6182884,-24.137096,102.0746749,-22.926,-23.26,-86.645
327118,-29.7553524,-24.2074975,102.1771606,-22.916,-23.308,-86.458
327126,-29.8866204,-24.0918097,102.7110517,-22.911,-23.24,-86.98
327134,-30.1644748,-24.1329949,103.1539927,-22.926,-23.162,-87.347
327142,-30.1905238,-24.1558304,103.1500907,-22.905,-23.209,-87.307
327150,-30.2207091,-24.1835478,103.1425947,-22.917,-23.208,-87.266
327158,-30.2172253,-24.1765475,103.1524965,-22.921,-23.2,-87.284
327166,-30.1838808,-24.1412729,103.1718756,-22.9,-23.202,-87.343
327174,-30.1588563,-24.1199385,103.1742068,-22.889,-23.21,-87.374
327182,-30.1455677,-24.1077439,103.1775104,-22.878,-23.215,-87.414
327190,-30.2968201,-24.2531894,103.1243581,-22.962,-23.167,-87.209
327198,-30.3261736,-24.2244612,103.2491161,-22.979,-23.143,-87.294
327206,-30.3981762,-24.1039734,103.6739008,-22.961,-23.123,-87.67
327214,-30.6582141,-24.1292454,104.11081,-22.964,-23.07,-87.998
327222,-30.8114769,-24.1891328,104.2596903,-22.938,-23.087,-88.031
327230,-30.8480249,-24.2241461,104.2460461,-22.959,-23.092,-87.977
327238,-30.8254601,-24.1998592,104.2607775,-22.95,-23.093,-88.011
327246,-30.793681,-24.1667461,104.2789832,-22.936,-23.088,-88.069
327254,-30.7923543,-24.1663804,104.2773372,-22.936,-23.084,-88.075
327262,-30.8025652,-24.1776147,104.2700758,-22.95,-23.079,-88.053
327270,-30.9206622,-24.2886231,104.2310821,-23.065,-23.024,-87.888
327278,-30.8286667,-24.1557783,104.3711255,-22.99,-23.049,-88.211
327286,-30.9170883,-24.2066354,104.4177746,-22.927,-23.113,-87.989
327294,-31.1380161,-24.19397,104.8623639,-22.984,-23.016,-88.304
327302,-31.5045396,-24.2344106,105.4477513,-23.031,-22.893,-88.787
327310,-31.5392899,-24.2162897,105.5543559,-22.986,-22.939,-88.884
327318,-31.5820186,-24.25359,105.5454604,-22.99,-22.937,-88.821
327326,-31.5765998,-24.2445333,105.556736,-22.986,-22.933,-88.84
327334,-31.5505966,-24.2171472,105.5731615,-22.976,-22.928,-88.888
327342,-31.5333257,-24.2035998,105.5731812,-22.973,-22.928,-88.911
327350,-31.5413436,-24.2130743,105.56569,-22.979,-22.929,-88.894
327358,-31.6175376,-24.2753505,105.5597519,-23.054,-22.874,-88.833
327366,-31.5731664,-24.1960721,105.6641904,-23.013,-22.862,-89.039
327374,-31.7240283,-24.2909784,105.7184736,-22.982,-22.938,-88.7
327382,-31.9478238,-24.2459909,106.2315831,-23.021,-22.851,-89.171
327390,-32.2511019,-24.2703658,106.7219817,-23.039,-22.738,-89.59
327398,-32.253067,-24.225492,106.8301226,-22.991,-22.756,-89.7
327406,-32.2624819,-24.2364218,106.8215163,-22.993,-22.761,-89.663
327414,-32.2931425,-24.2644426,106.81117,-23.002,-22.764,-89.618
327422,-32.3054474,-24.2728992,106.8135185,-23.011,-22.76,-89.612
327430,-32.2808636,-24.2502239,106.8222951,-22.999,-22.769,-89.647
327438,-32.3196864,-24.2805902,106.8211108,-23.032,-22.736,-89.621
327446,-32.3282736,-24.279287,106.8395162,-23.038,-22.729,-89.642
327454,-32.3679136,-24.2578508,106.9603036,-22.998,-22.76,-89.597
327462,-32.6131026,-24.2299316,107.4612676,-23.02,-22.687,-89.975
327470,-33.0737185,-24.3026426,108.1015378,-23.058,-22.539,-90.433
327478,-33.1094634,-24.2010853,108.3985264,-22.977,-22.562,-90.693
327486,-33.1631868,-24.2413568,108.39864,-23.005,-22.551,-90.635
327494,-33.1637489,-24.2391106,108.4048062,-23.006,-22.546,-90.642
327502,-33.1599025,-24.2353816,108.4067534,-23.008,-22.542,-90.653
327510,-33.1528152,-24.2325064,108.4011041,-23.006,-22.545,-90.655
327518,-33.1651325,-24.2436749,108.396658,-23.008,-22.546,-90.637
327526,-33.1789174,-24.2517649,108.401872,-23.017,-22.524,-90.634
327534,-33.1345827,-24.2122651,108.416274,-23.028,-22.503,-90.681
327542,-33.1783544,-24.243261,108.4205429,-23.022,-22.516,-90.595
327550,-33.341068,-24.2753964,108.6276978,-23.046,-22.483,-90.658
327558,-33.6163809,-24.2829282,109.0826746,-23.079,-22.39,-91.021
327566,-33.6013947,-24.2034942,109.2398359,-23.032,-22.411,-91.225
327574,-33.6601619,-24.2512843,109.2300633,-23.028,-22.401,-91.172
327582,-33.6591116,-24.2498917,109.2314754,-23.027,-22.392,-91.174
327590,-33.6677554,-24.2587329,109.2258773,-23.032,-22.391,-91.166
327598,-33.6779088,-24.2690274,109.2195144,-23.033,-22.397,-91.147
327606,-33.6725881,-24.2658073,109.2178517,-23.03,-22.4,-91.148
327614,-33.7069126,-24.2899026,109.220946,-23.06,-22.361,-91.122
327622,-33.6981485,-24.282645,109.222694,-23.109,-22.339,-91.153
327630,-33.8409678,-24.3502148,109.3103374,-23.072,-22.318,-91.168
327638,-33.8953494,-24.2737354,109.5775234,-23.022,-22.322,-91.255
327646,-34.2303558,-24.2751339,110.1368794,-23.106,-22.177,-91.737
327654,-34.4633866,-24.2597305,110.5592726,-23.044,-22.151,-91.992
327662,-34.5088163,-24.2466372,110.6642064,-23.014,-22.159,-92.035
327670,-34.4938558,-24.2317128,110.673507,-23.013,-22.155,-92.061
327678,-34.4806726,-24.2189548,110.6808134,-23.01,-22.149,-92.088
327686,-34.4913573,-24.2280172,110.6778042,-23.012,-22.147,-92.078
327694,-34.5125045,-24.2488425,110.665273,-23.026,-22.15,-92.045
327702,-34.5187595,-24.2532131,110.6656453,-23.041,-22.139,-92.033
327710,-34.4900155,-24.2279392,110.6757649,-23.051,-22.134,-92.061
327718,-34.7595639,-24.3763995,110.7820633,-23.082,-22.084,-91.897
327726,-34.838977,-24.2200573,111.2666003,-23.05,-22.021,-92.42
327734,-35.1666726,-24.2507236,111.7286298,-23.071,-21.903,-92.745
327742,-35.2731162,-24.2560907,111.8878585,-23.002,-21.92,-92.824
327750,-35.2952305,-24.271248,111.8891572,-23.012,-21.92,-92.789
327758,-35.2830632,-24.2579711,111.899592,-23.009,-21.92,-92.805
327766,-35.2693554,-24.2428937,111.9116289,-23.005,-21.915,-92.845
327774,-35.2415109,-24.2205433,111.9173971,-23.002,-21.921,-92.879
327782,-35.2547371,-24.2308641,111.915324,-23.011,-21.917,-92.867
327790,-35.3538711,-24.3006165,111.917003,-23.076,-21.861,-92.774
327798,-35.1912838,-24.2191318,111.8397642,-23.014,-21.934,-92.805
327806,-35.4368805,-24.2799619,112.0964268,-23.036,-21.865,-92.846
327814,-35.6948386,-24.3092167,112.4410502,-23.07,-21.767,-93.053
327822,-35.9671163,-24.3313357,112.8207827,-23.119,-21.648,-93.333
327830,-35.9174923,-24.2524984,112.9194597,-23.063,-21.673,-93.491
327838,-35.8973813,-24.2396692,112.9166501,-23.018,-21.694,-93.461
327846,-35.9442037,-24.2726074,112.9163124,-23.027,-21.687,-93.426
327854,-35.9440667,-24.273884,112.9132371,-23.028,-21.696,-93.421
327862,-35.923608,-24.2582558,112.9161526,-23.018,-21.704,-93.436
327870,-35.9311874,-24.2587743,112.9268879,-23.034,-21.676,-93.451
327878,-35.9614206,-24.2775877,112.9321634,-23.086,-21.637,-93.449
327886,-36.0101757,-24.2931893,112.9736387,-23.074,-21.635,-93.541
327894,-36.0972106,-24.2542721,113.1967648,-23.021,-21.622,-93.583
327902,-36.4536395,-24.2426776,113.7751672,-23.054,-21.468,-94.048
327910,-36.7141832,-24.235923,114.1896149,-23.028,-21.389,-94.295
327918,-36.767156,-24.2307509,114.2818547,-22.998,-21.387,-94.328
327926,-36.7549817,-24.2212299,114.2844624,-22.995,-21.395,-94.319
327934,-36.7573554,-24.2232649,114.2835571,-22.998,-21.395,-94.314
327942,-36.779307,-24.2383833,114.2834073,-23.004,-21.387,-94.297
327950,-36.7643701,-24.2283137,114.2830254,-22.996,-21.394,-94.307
327958,-36.7621395,-24.226367,114.2839524,-23.003,-21.386,-94.304
327966,-36.7196694,-24.1898468,114.3004185,-23.025,-21.363,-94.369
327974,-36.938633,-24.3177131,114.3496322,-23.042,-21.324,-94.214
327982,-37.1304703,-24.2817504,114.7188862,-23.006,-21.263,-94.414
327990,-37.4530188,-24.2044501,115.3717525,-23.01,-21.104,-95.066
327998,-37.6016679,-24.1934083,115.616337,-22.954,-21.077,-95.14
328006,-37.6699815,-24.2339795,115.6280152,-22.964,-21.066,-95.062
328014,-37.6572076,-24.2202599,115.6393101,-22.96,-21.071,-95.079
328022,-37.6275761,-24.1947867,115.651575,-22.947,-21.075,-95.12
328030,-37.6094577,-24.1805765,115.6560816,-22.945,-21.078,-95.14
328038,-37.6231929,-24.1888444,115.6581744,-22.951,-21.079,-95.13
328046,-37.7121448,-24.2473058,115.660923,-23.019,-21.024,-95.078
328054,-37.7329599,-24.2504692,115.684643,-23.103,-20.963,-95.134
328062,-37.590348,-24.1775954,115.6344082,-22.969,-21.073,-95.143
328070,-37.7839957,-24.2170863,115.8329561,-22.956,-21.023,-95.136
328078,-38.0564208,-24.1707284,116.3326897,-22.98,-20.88,-95.544
328086,-38.4070121,-24.2273496,116.7159962,-23.002,-20.756,-95.754
328094,-38.4156831,-24.2118301,116.7622453,-22.968,-20.772,-95.785
328102,-38.3799477,-24.1876046,116.763642,-22.948,-20.782,-95.794
328110,-38.3624704,-24.175376,116.7651581,-22.938,-20.791,-95.8
328118,-38.3755565,-24.1816168,116.7703767,-22.941,-20.784,-95.793
328126,-38.3814721,-24.1843548,116.7729162,-22.944,-20.783,-95.787
328134,-38.3822731,-24.1831886,116.7766094,-22.953,-20.779,-95.794
328142,-38.3166069,-24.1349829,116.7872764,-22.948,-20.779,-95.87
328150,-38.4606959,-24.2285878,116.7904196,-22.937,-20.769,-95.669
328158,-38.6162439,-24.2188325,117.0342423,-22.914,-20.712,-95.747
328166,-38.9075251,-24.1286651,117.6431112,-22.931,-20.549,-96.355
328174,-39.2683275,-24.158362,118.0848176,-22.921,-20.421,-96.601
328182,-39.3189907,-24.1444528,118.1853427,-22.905,-20.404,-96.634
328190,-39.3203083,-24.1423004,118.1918136,-22.905,-20.409,-96.627
328198,-39.3089761,-24.1327882,118.1965512,-22.899,-20.413,-96.637
328206,-39.3132322,-24.1353389,118.196974,-22.902,-20.406,-96.639
328214,-39.2940463,-24.1228706,118.1971601,-22.898,-20.415,-96.654
328222,-39.3315287,-24.1486581,118.19372,-22.905,-20.406,-96.621
328230,-39.3463799,-24.1528398,118.2053596,-22.898,-20.393,-96.65
328238,-39.2897341,-24.111185,118.216362,-22.885,-20.402,-96.663
328246,-39.3810877,-24.1228199,118.3182188,-22.879,-20.389,-96.637
328254,-39.7076373,-24.1640701,118.680337,-22.916,-20.249,-96.825
328262,-40.0222795,-24.1611212,119.1163963,-22.926,-20.112,-97.185
328270,-40.006361,-24.1059934,119.2125155,-22.882,-20.12,-97.282
328278,-40.0238998,-24.1164522,119.2139771,-22.887,-20.116,-97.262
328286,-40.0499698,-24.1329405,119.2141392,-22.898,-20.11,-97.236
328294,-40.0491025,-24.1326566,119.2135689,-22.895,-20.114,-97.231
328302,-40.0357016,-24.1243402,119.2131451,-22.884,-20.121,-97.231
328310,-40.0213018,-24.1149304,119.2137021,-22.877,-20.125,-97.243
328318,-39.9320069,-24.1246271,119.0715854,-22.89,-20.15,-97.124
328326,-39.9775435,-24.1114368,119.1617349,-22.886,-20.131,-97.208
328334,-40.116742,-24.1549837,119.2576026,-22.86,-20.119,-97.117
328342,-40.321345,-24.1597645,119.5235065,-22.858,-20.021,-97.252
328350,-40.5796721,-24.0844021,120.0291591,-22.856,-19.877,-97.783
328358,-40.7227394,-24.0644636,120.2613379,-22.832,-19.819,-97.89
328366,-40.7641355,-24.0727907,120.2984778,-22.838,-19.805,-97.851
328374,-40.7966015,-24.0901347,120.3046941,-22.853,-19.803,-97.832
328382,-40.7724379,-24.0740709,120.3067454,-22.845,-19.815,-97.841
328390,-40.7468807,-24.0583308,120.3062736,-22.835,-19.823,-97.852
328398,-40.7421159,-24.0512405,120.3149882,-22.829,-19.812,-97.866
328406,-40.7164057,-24.0304262,120.3250779,-22.838,-19.81,-97.923
328414,-40.6669564,-24.0537806,120.2100631,-22.822,-19.847,-97.789
328422,-40.969009,-24.0932153,120.5253482,-22.819,-19.738,-97.912
328430,-41.3309907,-24.0916335,121.0013697,-22.878,-19.549,-98.26
328438,-41.5669398,-24.0340038,121.4270915,-22.858,-19.44,-98.527
328446,-41.7066956,-24.0402877,121.5932697,-22.809,-19.405,-98.608
328454,-41.6522852,-23.9984351,121.6111522,-22.784,-19.416,-98.631
328462,-41.6606638,-24.002431,121.613521,-22.791,-19.42,-98.615
328470,-41.6736026,-24.0115247,121.6110606,-22.802,-19.423,-98.608
328478,-41.6678489,-24.007568,121.6119721,-22.802,-19.424,-98.61
328486,-41.6819863,-24.0188604,121.6064478,-22.811,-19.409,-98.552
328494,-41.7006799,-24.0240554,121.6195148,-22.844,-19.367,-98.547
328502,-41.7628717,-24.0375823,121.6707758,-22.834,-19.354,-98.662
328510,-41.6362495,-23.932445,121.7288838,-22.684,-19.44,-98.634
328518,-42.0001868,-24.0239954,122.0011222,-22.734,-19.293,-98.677
328526,-42.3350234,-23.9850229,122.5039667,-22.82,-19.105,-99.135
328534,-42.5220506,-23.9518248,122.8061657,-22.796,-19.03,-99.377
328542,-42.5638491,-23.9684895,122.8236326,-22.758,-19.025,-99.314
328550,-42.5889998,-23.9791824,122.8327558,-22.773,-19.018,-99.313
328558,-42.591823,-23.9817744,122.8309022,-22.78,-19.021,-99.306
328566,-42.6023974,-23.9895947,122.8278651,-22.792,-19.017,-99.303
328574,-42.5832083,-23.9816784,122.8204034,-22.799,-19.014,-99.273
328582,-42.62565,-24.0060752,122.8226729,-22.824,-18.983,-99.242
328590,-42.5026457,-23.9804957,122.7226642,-22.783,-19.044,-99.215
328598,-42.5646416,-23.9769863,122.8070419,-22.778,-19.026,-99.276
328606,-42.8773631,-24.0143326,123.1167418,-22.751,-18.918,-99.353
328614,-43.167712,-23.9936989,123.5147438,-22.796,-18.75,-99.676
328622,-43.3463602,-23.9861857,123.7471917,-22.765,-18.684,-99.829
328630,-43.3450276,-23.9698558,123.7789836,-22.73,-18.693,-99.836
328638,-43.3378245,-23.9652556,123.7796731,-22.736,-18.702,-99.843
328646,-43.3433544,-23.9679756,123.7808046,-22.745,-18.702,-99.837
328654,-43.33381,-23.9614662,123.782566,-22.752,-18.699,-99.852
328662,-43.3040474,-23.9427329,123.7848618,-22.761,-18.693,-99.857
328670,-43.2068446,-23.9708148,123.6093062,-22.756,-18.741,-99.71
328678,-43.2510677,-23.9525601,123.700466,-22.754,-18.715,-99.789
328686,-43.4653816,-23.9672002,123.9298658,-22.731,-18.655,-99.84
328694,-43.8298761,-24.010922,124.2780858,-22.759,-18.498,-99.976
328702,-44.1978699,-23.980334,124.7763797,-22.823,-18.297,-100.431
328710,-44.462141,-23.934151,125.1794448,-22.734,-18.204,-100.636
328718,-44.5013307,-23.9170863,125.2595129,-22.693,-18.184,-100.636
328726,-44.4861283,-23.9034793,125.269213,-22.683,-18.19,-100.645
328734,-44.4733457,-23.8936927,125.274041,-22.679,-18.194,-100.653
328742,-44.4919617,-23.9022608,125.278464,-22.684,-18.192,-100.645
328750,-44.4971668,-23.9069236,125.2751332,-22.699,-18.189,-100.649
328758,-44.5621077,-23.9383273,125.2875085,-22.743,-18.138,-100.6
328766,-44.5387837,-23.8943746,125.3488443,-22.761,-18.121,-100.76
328774,-44.4662415,-23.8958601,125.2613924,-22.698,-18.183,-100.636
328782,-45.1151555,-23.9350327,125.9317814,-22.747,-17.899,-101.016
328790,-45.3849876,-23.9289859,126.2508529,-22.759,-17.774,-101.217
328798,-45.3734375,-23.8956145,126.3041421,-22.699,-17.787,-101.259
328806,-45.359287,-23.8886066,126.3020612,-22.675,-17.804,-101.249
328814,-45.3855644,-23.9033269,126.3025311,-22.683,-17.805,-101.232
328822,-45.3864347,-23.9021919,126.3057738,-22.687,-17.806,-101.23
328830,-45.3807075,-23.900528,126.3025994,-22.68,-17.812,-101.233
328838,-45.382917,-23.8981819,126.3097676,-22.679,-17.805,-101.24
328846,-45.3104889,-23.9113305,126.2014999,-22.694,-17.82,-101.149
328854,-45.3321251,-23.8859258,126.2766204,-22.683,-17.806,-101.23
328862,-45.5681102,-23.8836036,126.5477285,-22.647,-17.716,-101.296
328870,-45.9900793,-23.891139,127.0044438,-22.698,-17.516,-101.598
328878,-46.3958016,-23.9159163,127.4035222,-22.708,-17.347,-101.852
328886,-46.4473545,-23.8641507,127.5614248,-22.625,-17.33,-101.945
328894,-46.4217961,-23.8401749,127.5804609,-22.609,-17.335,-101.931
328902,-46.4426293,-23.8450827,127.5936245,-22.616,-17.324,-101.925
328910,-46.4640157,-23.8565883,127.5944581,-22.626,-17.322,-101.914
328918,-46.4466677,-23.8502731,127.5878676,-22.621,-17.333,-101.918
328926,-46.3739802,-23.811804,127.5837903,-22.601,-17.352,-101.983
328934,-46.2993759,-23.8539321,127.4192617,-22.623,-17.382,-101.812
328942,-46.3795533,-23.8469525,127.5209222,-22.621,-17.346,-101.887
328950,-46.4135719,-23.8346615,127.5822749,-22.613,-17.328,-101.934
328958,-46.4646688,-23.8338525,127.6397194,-22.615,-17.299,-101.957
328966,-47.1249055,-23.8443007,128.3332508,-22.678,-16.976,-102.409
