Frame,Rz,Ry,Rx,Tx,Ty,Tz
1576566,-25.7701682,-25.2867833,91.1216086,-25.586,-30.4,-82.113
1576574,-25.7728885,-25.2899218,91.1205182,-25.588,-30.398,-82.108
1576582,-25.7731185,-25.2904448,91.1198231,-25.589,-30.398,-82.107
1576590,-25.7733696,-25.2909828,91.1191415,-25.59,-30.398,-82.106
1576598,-25.7718664,-25.2886024,91.121256,-25.588,-30.398,-82.111
1576606,-25.7681776,-25.284079,91.1233608,-25.584,-30.401,-82.118
1576614,-25.7681966,-25.2842622,91.1229758,-25.585,-30.401,-82.117
1576622,-25.7717244,-25.2883142,91.121604,-25.588,-30.398,-82.111
1576630,-25.7676799,-25.2833522,91.1239175,-25.584,-30.4,-82.119
1576638,-25.7688317,-25.2845275,91.1238153,-25.585,-30.4,-82.118
1576646,-25.7692722,-25.2851175,91.1234472,-25.585,-30.399,-82.117
1576654,-25.7720404,-25.2883243,91.1223069,-25.587,-30.398,-82.112
1576662,-25.7713789,-25.2874456,91.1228426,-25.586,-30.399,-82.114
1576670,-25.7735407,-25.2897292,91.1224686,-25.588,-30.397,-82.111
1576678,-25.7756889,-25.291998,91.1220985,-25.59,-30.394,-82.108
1576686,-25.7724506,-25.288582,91.1226471,-25.587,-30.398,-82.112
1576694,-25.7726938,-25.2884918,91.1234176,-25.587,-30.397,-82.113
1576702,-25.7729444,-25.2884016,91.1242048,-25.587,-30.396,-82.114
1576710,-25.7739956,-25.2902065,91.1223976,-25.587,-30.397,-82.11
1576718,-25.7698152,-25.2852887,91.1242952,-25.584,-30.4,-82.118
1576726,-25.769073,-25.2838834,91.125878,-25.583,-30.399,-82.12
1576734,-25.7683312,-25.2824783,91.1274613,-25.582,-30.398,-82.123
1576742,-25.7722791,-25.2879976,91.1236205,-25.587,-30.397,-82.114
1576750,-25.7704044,-25.2858093,91.1244318,-25.585,-30.398,-82.117
1576758,-25.768524,-25.2836165,91.1252404,-25.584,-30.4,-82.12
1576766,-25.7718498,-25.28702,91.1249216,-25.585,-30.398,-82.116
1576774,-25.7751733,-25.2904236,91.1245976,-25.586,-30.396,-82.111
1576782,-25.767266,-25.2817891,91.1266248,-25.582,-30.402,-82.123
1576790,-25.7692377,-25.2842846,91.1253175,-25.584,-30.4,-82.12
1576798,-25.7711654,-25.2863775,91.1248517,-25.585,-30.399,-82.117
1576806,-25.7697359,-25.2850966,91.1245625,-25.584,-30.401,-82.119
1576814,-25.7738614,-25.2895692,91.1235807,-25.587,-30.397,-82.112
1576822,-25.7742193,-25.2900077,91.1233775,-25.588,-30.397,-82.112
1576830,-25.7745904,-25.2904589,91.1231747,-25.589,-30.397,-82.111
1576838,-25.7772988,-25.2937379,91.1217282,-25.591,-30.394,-82.106
1576846,-25.7749765,-25.2909124,91.1230011,-25.589,-30.396,-82.111
1576854,-25.7749769,-25.2910529,91.1226732,-25.589,-30.396,-82.11
1576862,-25.776865,-25.2930072,91.1224408,-25.59,-30.395,-82.108
1576870,-25.7787689,-25.2949744,91.1222147,-25.59,-30.393,-82.105
1576878,-25.775677,-25.2915678,91.1230779,-25.589,-30.396,-82.111
1576886,-25.7708213,-25.2855515,91.1259939,-25.584,-30.399,-82.121
