Frame,Rz,Ry,Rx,Tx,Ty,Tz
1410918,-24.7425204,-24.9561658,89.491607,-25.622,-30.463,-81.325
1410926,-24.7450915,-24.9592222,89.4905062,-25.625,-30.461,-81.321
1410934,-24.7413749,-24.9557637,89.4898232,-25.624,-30.464,-81.323
1410942,-24.7432897,-24.9590024,89.4867227,-25.63,-30.461,-81.313
1410950,-24.7422959,-24.9549582,89.4939327,-25.625,-30.459,-81.328
1410958,-24.741056,-24.9538255,89.4936551,-25.62,-30.462,-81.332
1410966,-24.7421617,-24.9569338,89.4889301,-25.624,-30.464,-81.323
1410974,-24.7436538,-24.9580842,89.4897684,-25.627,-30.462,-81.318
1410982,-24.7368657,-24.9493048,89.4943582,-25.621,-30.465,-81.331
1410990,-24.7399495,-24.9534207,89.4919706,-25.624,-30.462,-81.325
1410998,-24.7430222,-24.9575237,89.4895878,-25.627,-30.459,-81.319
1411006,-24.7379874,-24.951536,89.4917496,-25.625,-30.462,-81.325
1411014,-24.737711,-24.9493908,89.4961744,-25.625,-30.458,-81.329
1411022,-24.7330998,-24.9419552,89.5027838,-25.617,-30.459,-81.344
1411030,-24.7396798,-24.952999,89.4923257,-25.629,-30.456,-81.32
1411038,-24.7431772,-24.9570782,89.4910139,-25.637,-30.45,-81.312
1411046,-24.74402,-24.956207,89.4950919,-25.637,-30.446,-81.319
1411054,-24.7466806,-24.9590056,89.4948157,-25.638,-30.443,-81.321
1411062,-24.7493386,-24.961806,89.4945288,-25.638,-30.44,-81.323
1411070,-24.7522016,-24.9654982,89.4926188,-25.643,-30.439,-81.315
1411078,-24.7519933,-24.9640318,89.4955955,-25.642,-30.438,-81.32
1411086,-24.7461228,-24.9551508,89.5026187,-25.634,-30.44,-81.337
1411094,-24.7405346,-24.9484933,89.5050488,-25.627,-30.444,-81.346
1411102,-24.7442527,-24.9541202,89.5005937,-25.631,-30.444,-81.334
1411110,-24.7426609,-24.9564383,89.4912969,-25.64,-30.445,-81.273
1411118,-24.7332137,-24.9433651,89.4997128,-25.637,-30.443,-81.284
1411126,-24.7370685,-24.9490366,89.4954787,-25.636,-30.441,-81.269
1411134,-24.7475622,-24.9589966,89.4969429,-25.641,-30.431,-81.265
1411142,-24.7394004,-24.9494582,89.5000514,-25.634,-30.442,-81.302
1411150,-24.732046,-24.9394529,89.5061989,-25.627,-30.445,-81.311
1411158,-24.7300631,-24.9353726,89.5111367,-25.625,-30.446,-81.313
1411166,-24.7373098,-24.9426679,89.5111548,-25.633,-30.445,-81.302
1411174,-24.7467221,-24.9496656,89.5170521,-25.64,-30.442,-81.3
1411182,-24.7477162,-24.9441153,89.5325856,-25.635,-30.443,-81.323
1411190,-24.7519708,-24.94348,89.544254,-25.636,-30.445,-81.338
1411198,-24.7630597,-24.9495009,89.5564576,-25.641,-30.443,-81.346
1411206,-24.7696171,-24.9482173,89.5751533,-25.641,-30.444,-81.367
1411214,-24.8562962,-24.9746735,89.7190069,-25.672,-30.435,-81.475
1411222,-24.8932029,-24.9648708,89.8299677,-25.682,-30.452,-81.542
1411230,-24.9912716,-24.9875594,90.0087873,-25.708,-30.446,-81.65
1411238,-25.0959321,-24.9982007,90.2308455,-25.731,-30.46,-81.804
1411246,-25.2352585,-25.0163428,90.5155685,-25.782,-30.452,-81.992
1411254,-25.4069581,-25.0302548,90.8841091,-25.826,-30.45,-82.265
1411262,-25.5412088,-25.0260897,91.2060375,-25.836,-30.466,-82.56
1411270,-25.6032109,-25.0140767,91.3780376,-25.811,-30.5,-82.725
1411278,-25.6289882,-25.0503007,91.3520578,-25.848,-30.498,-82.678
1411286,-25.61875,-25.0367748,91.3603342,-25.835,-30.506,-82.71
1411294,-25.642185,-25.0709667,91.3337762,-25.867,-30.507,-82.66
1411302,-25.5848963,-24.9879881,91.3973648,-25.804,-30.524,-82.811
1411310,-25.5206806,-24.9162347,91.4185725,-25.741,-30.536,-82.862
1411318,-25.6498235,-25.1028147,91.2763252,-25.856,-30.513,-82.531
1411326,-25.7286852,-25.1964818,91.2378555,-25.938,-30.487,-82.436
1411334,-25.6099405,-25.0366684,91.3402136,-25.839,-30.509,-82.684
1411342,-25.6085464,-25.0213312,91.3732305,-25.819,-30.51,-82.738
1411350,-25.7166865,-25.1723619,91.2668844,-25.869,-30.508,-82.339
1411358,-25.9101607,-25.2451436,91.5402386,-26.001,-30.468,-82.423
1411366,-25.9186636,-24.942104,92.2738415,-25.877,-30.469,-83.42
1411374,-25.9636922,-24.9199927,92.4291004,-25.844,-30.524,-83.644
1411382,-26.1402863,-25.1407302,92.309578,-25.932,-30.511,-83.35
1411390,-26.1251258,-25.118256,92.3280646,-25.935,-30.51,-83.364
1411398,-26.079179,-25.0564701,92.3693205,-25.912,-30.493,-83.456
1411406,-26.0429294,-25.027784,92.3545919,-25.884,-30.501,-83.487
1411414,-26.0896508,-25.0945143,92.3034247,-25.913,-30.504,-83.391
1411422,-26.0993842,-25.1017254,92.3085489,-25.932,-30.497,-83.388
1411430,-26.096114,-25.0811222,92.3496661,-25.958,-30.447,-83.445
1411438,-25.9967039,-24.9487367,92.4362713,-25.887,-30.465,-83.657
1411446,-26.1914209,-25.1927661,92.3031781,-26.002,-30.446,-83.157
1411454,-26.2942685,-25.2168887,92.4789739,-26.104,-30.423,-83.198
1411462,-26.4294818,-25.0807239,93.1031485,-26.055,-30.417,-83.964
1411470,-26.5246581,-24.9503328,93.6240776,-25.931,-30.484,-84.599
1411478,-26.7071097,-25.1103517,93.6530636,-25.976,-30.484,-84.438
1411486,-26.7687943,-25.1979199,93.5842888,-26.055,-30.459,-84.255
1411494,-26.7084228,-25.1244163,93.6229118,-26.033,-30.46,-84.371
1411502,-26.6489649,-25.0558161,93.6522023,-25.987,-30.483,-84.495
1411510,-26.6725619,-25.0853888,93.6350354,-25.982,-30.496,-84.476
1411518,-26.7050613,-25.1208173,93.6239074,-26.009,-30.484,-84.423
1411526,-26.8238754,-25.2687746,93.5403472,-26.176,-30.384,-84.129
1411534,-26.7298664,-25.0824079,93.7693169,-26.106,-30.406,-84.52
1411542,-26.9198605,-25.1778764,93.9650938,-26.098,-30.451,-84.401
1411550,-27.0676797,-25.0159089,94.6706162,-25.995,-30.465,-85.282
1411558,-27.3006861,-25.1149248,94.9459522,-26.041,-30.444,-85.448
1411566,-27.3146049,-25.1283073,94.9447737,-26.057,-30.443,-85.425
1411574,-27.3262493,-25.1422759,94.9372866,-26.069,-30.429,-85.41
1411582,-27.3105335,-25.1295246,94.9330778,-26.06,-30.435,-85.421
1411590,-27.3227416,-25.1422691,94.9296893,-26.061,-30.434,-85.414
1411598,-27.3147982,-25.1318514,94.9368791,-26.056,-30.442,-85.441
1411606,-27.2758457,-25.0850593,94.9621148,-26.026,-30.439,-85.515
1411614,-27.2236806,-24.991933,95.0678175,-25.988,-30.445,-85.737
1411622,-27.5379592,-25.2579449,95.1244436,-26.147,-30.388,-85.353
1411630,-27.6861134,-25.2360374,95.49387,-26.165,-30.369,-85.6
1411638,-27.6388533,-25.0767652,95.7654367,-26.086,-30.389,-86.102
1411646,-27.6420854,-25.0859059,95.7509143,-26.066,-30.405,-86.13
1411654,-27.6789046,-25.1292104,95.7282838,-26.071,-30.412,-86.076
1411662,-27.7165017,-25.1672626,95.7196719,-26.088,-30.405,-86.025
