Frame,Rz,Ry,Rx,Tx,Ty,Tz
411550,-26.6578835,-24.6230077,94.6996148,-22.531,-23.4,-82.08
411574,-26.6591624,-24.6243535,94.6992365,-22.533,-23.399,-82.078
411582,-26.6589101,-24.6241358,94.6991968,-22.532,-23.399,-82.078
411590,-26.6599511,-24.6252806,94.6987708,-22.534,-23.398,-82.077
411598,-26.6609964,-24.6264229,94.6983604,-22.535,-23.397,-82.075
411606,-26.6594762,-24.6245946,94.6993569,-22.534,-23.398,-82.078
411614,-26.6593816,-24.6246462,94.6990234,-22.535,-23.397,-82.077
411622,-26.6602434,-24.6256267,94.6985923,-22.536,-23.397,-82.076
411630,-26.6592468,-24.6246559,94.6987008,-22.535,-23.398,-82.077
411638,-26.6577711,-24.6232055,94.698892,-22.534,-23.399,-82.079
411646,-26.6573755,-24.6228526,94.6988575,-22.534,-23.4,-82.078
411654,-26.6582125,-24.6237604,94.6985451,-22.535,-23.399,-82.078
411662,-26.6565107,-24.6219025,94.699209,-22.533,-23.401,-82.08
411670,-26.656532,-24.6219148,94.6992271,-22.533,-23.401,-82.08
411678,-26.6553744,-24.6207183,94.6995175,-22.533,-23.402,-82.08
411686,-26.6553057,-24.6208838,94.6989691,-22.534,-23.402,-82.079
411694,-26.6566045,-24.622337,94.698378,-22.537,-23.401,-82.076
411702,-26.6579808,-24.6240604,94.6973128,-22.538,-23.401,-82.074
411710,-26.6593568,-24.6257818,94.6962521,-22.54,-23.401,-82.071
411718,-26.6601826,-24.6262214,94.6970349,-22.541,-23.399,-82.071
411726,-26.6596098,-24.6253074,94.6979488,-22.541,-23.398,-82.072
411734,-26.6598025,-24.6257204,94.6973887,-22.543,-23.398,-82.071
411742,-26.6600139,-24.6261458,94.696841,-22.545,-23.398,-82.07
411750,-26.6608747,-24.6270679,94.6965477,-22.545,-23.398,-82.068
411758,-26.6620687,-24.6286728,94.6953612,-22.546,-23.398,-82.067
411766,-26.6626683,-24.6290414,94.6958114,-22.545,-23.397,-82.068
411774,-26.6617379,-24.6278878,94.6965038,-22.544,-23.397,-82.07
411782,-26.6604768,-24.6261533,94.6978513,-22.542,-23.397,-82.074
411790,-26.6608002,-24.6263093,94.6981965,-22.543,-23.396,-82.075
411798,-26.6632128,-24.6288393,94.6975042,-22.544,-23.395,-82.073
411806,-26.6651754,-24.6309752,94.6967549,-22.546,-23.394,-82.073
411814,-26.6666517,-24.6320546,94.6974522,-22.546,-23.392,-82.075
411822,-26.6686031,-24.6336182,94.6980467,-22.548,-23.389,-82.078
411830,-26.6705687,-24.6351963,94.6986379,-22.549,-23.387,-82.081
411838,-26.673097,-24.6367147,94.7006211,-22.551,-23.382,-82.084
411846,-26.6754957,-24.6386681,94.7012764,-22.553,-23.379,-82.086
411854,-26.6776491,-24.6402167,94.7023549,-22.553,-23.376,-82.089
411862,-26.6798171,-24.64178,94.7034302,-22.554,-23.374,-82.092
411870,-26.6790435,-24.6401405,94.7056321,-22.551,-23.372,-82.099
411878,-26.6793012,-24.6397848,94.7070545,-22.55,-23.371,-82.105
411886,-26.6805918,-24.6407023,94.7077259,-22.55,-23.369,-82.107
