Frame,Rz,Ry,Rx,Tx,Ty,Tz
46430,-37.6942319,-39.3005752,87.419963,18.781,-79.475,-114.606
46438,-37.6938059,-39.3006393,87.4191659,18.781,-79.475,-114.606
46446,-37.6931187,-39.3004279,87.4183767,18.782,-79.478,-114.605
46454,-37.6932869,-39.301283,87.4173028,18.779,-79.476,-114.605
46462,-37.6951002,-39.3019151,87.4192683,18.781,-79.474,-114.606
46470,-37.6951188,-39.3024793,87.418409,18.779,-79.474,-114.604
46478,-37.693444,-39.3009564,87.4180745,18.783,-79.476,-114.605
46486,-37.6931991,-39.30113,87.4174006,18.782,-79.476,-114.605
46494,-37.6937846,-39.3016938,87.417468,18.782,-79.475,-114.604
46502,-37.6943962,-39.3022695,87.4175592,18.782,-79.474,-114.603
46510,-37.6922643,-39.3010321,87.4160277,18.782,-79.477,-114.604
46518,-37.6923014,-39.3007982,87.4164573,18.783,-79.477,-114.605
46526,-37.6923387,-39.3005613,87.4168919,18.784,-79.476,-114.606
46534,-37.6938718,-39.3013003,87.418231,18.784,-79.474,-114.605
46542,-37.693709,-39.3013331,87.4179134,18.783,-79.474,-114.603
46550,-37.6936892,-39.3005807,87.4190676,18.786,-79.474,-114.605
46558,-37.6944857,-39.3013345,87.4191801,18.784,-79.473,-114.604
46566,-37.6948284,-39.3012689,87.4198435,18.785,-79.473,-114.604
46574,-37.6967515,-39.3025487,87.4209669,18.783,-79.47,-114.601
46582,-37.697374,-39.3023067,87.4223655,18.785,-79.471,-114.602
46590,-37.6978435,-39.3030092,87.4220246,18.783,-79.47,-114.6
46598,-37.6974397,-39.3022947,87.4224918,18.784,-79.471,-114.6
46606,-37.6970264,-39.3015672,87.422964,18.785,-79.472,-114.6
46614,-37.6979834,-39.3027643,87.4226395,18.782,-79.47,-114.599
46622,-37.6989444,-39.3039585,87.4223261,18.778,-79.468,-114.598
46630,-37.6967325,-39.3020753,87.4216824,18.782,-79.473,-114.6
46638,-37.6975454,-39.3028146,87.4218446,18.781,-79.471,-114.599
46646,-37.697163,-39.3023781,87.4219082,18.782,-79.472,-114.6
46654,-37.6991531,-39.3040987,87.4224459,18.783,-79.473,-114.6
46662,-37.6983605,-39.3047267,87.4201605,18.783,-79.474,-114.598
46670,-37.6982029,-39.3050134,87.4194511,18.786,-79.475,-114.599
46678,-37.6975567,-39.3062603,87.416429,18.786,-79.476,-114.599
46686,-37.695202,-39.3060446,87.4129222,18.787,-79.478,-114.597
46694,-37.6934755,-39.3059459,87.410257,18.786,-79.478,-114.596
46702,-37.6917459,-39.3058452,87.4075899,18.785,-79.477,-114.594
46710,-37.6909838,-39.3060973,87.4059471,18.783,-79.474,-114.594
46718,-37.6900748,-39.30605,87.4045365,18.782,-79.476,-114.592
46726,-37.6900452,-39.3062576,87.4041607,18.781,-79.475,-114.591
46734,-37.6871761,-39.303759,87.403413,18.782,-79.475,-114.593
46742,-37.6881689,-39.3029758,87.4062704,18.781,-79.474,-114.594
46750,-37.6891649,-39.3021916,87.4091347,18.779,-79.473,-114.594
46758,-37.6902939,-39.3009908,87.4128733,18.778,-79.472,-114.594
46766,-37.6922513,-39.3001215,87.4174426,18.779,-79.472,-114.597
46774,-37.6949406,-39.2995953,87.4226664,18.78,-79.471,-114.598
46782,-37.6980971,-39.2993889,87.4281489,18.78,-79.472,-114.601
46790,-37.699946,-39.2989778,87.4318177,18.78,-79.473,-114.601
46798,-37.7024164,-39.2984018,87.4367619,18.78,-79.472,-114.602
46806,-37.7039412,-39.2974777,87.4407102,18.781,-79.473,-114.603
46814,-37.7064477,-39.297332,87.4450343,18.779,-79.472,-114.604
46822,-37.7070974,-39.2962586,87.4477885,18.78,-79.473,-114.606
46830,-37.7081463,-39.2952876,87.4510334,18.781,-79.473,-114.607
46838,-37.7097512,-39.29529,87.4536509,18.779,-79.472,-114.606
46846,-37.7120335,-39.2960284,87.4562137,18.777,-79.472,-114.604
46854,-37.7140813,-39.2962594,87.4591937,18.777,-79.471,-114.604
46862,-37.7144858,-39.2950297,87.461794,18.778,-79.471,-114.605
46870,-37.7147403,-39.2939297,87.4639449,18.78,-79.472,-114.606
46878,-37.7149836,-39.2928141,87.4661021,18.782,-79.473,-114.608
46886,-37.7154595,-39.2926065,87.4672068,18.781,-79.474,-114.608
46894,-37.7171793,-39.2931045,87.4692296,18.78,-79.472,-114.607
46902,-37.7165155,-39.2921929,87.4695838,18.781,-79.474,-114.608
46910,-37.7154534,-39.2913926,87.4691118,18.783,-79.476,-114.61
46918,-37.714334,-39.2902434,87.4690967,18.784,-79.476,-114.613
46926,-37.714179,-39.2904491,87.468519,18.785,-79.475,-114.615
46934,-37.712477,-39.2906435,87.4654327,18.785,-79.477,-114.616
46942,-37.7113678,-39.2915536,87.4621854,18.787,-79.479,-114.617
46950,-37.7088322,-39.2927916,87.4560912,18.789,-79.48,-114.617
46958,-37.7068077,-39.2954386,87.4486087,18.789,-79.479,-114.615
46966,-37.7028273,-39.2975969,87.4387025,18.789,-79.479,-114.614
46974,-37.6977555,-39.2994007,87.4275721,18.789,-79.48,-114.61
46982,-37.6943234,-39.3018025,87.4181769,18.789,-79.478,-114.607
46990,-37.6904766,-39.3039518,87.4085021,18.787,-79.478,-114.603
46998,-37.6863919,-39.3052348,87.3998042,18.786,-79.479,-114.601
47006,-37.6828645,-39.3055699,87.3935115,18.786,-79.48,-114.599
47014,-37.6807086,-39.3064313,87.38863,18.784,-79.48,-114.594
47022,-37.6805699,-39.3073648,87.3869312,18.782,-79.478,-114.591
47030,-37.6799248,-39.3064959,87.387247,18.779,-79.476,-114.591
47038,-37.6784599,-39.303993,87.3888,18.781,-79.477,-114.595
47046,-37.6770572,-39.3006583,87.3917666,18.781,-79.479,-114.601
47054,-37.6763663,-39.2981268,87.3946302,18.778,-79.476,-114.606
47062,-37.6763561,-39.2962798,87.3975268,18.778,-79.476,-114.611
47070,-37.678538,-39.2963985,87.4009056,18.778,-79.476,-114.61
47078,-37.6793337,-39.295198,87.4040998,18.782,-79.479,-114.615
47086,-37.6804944,-39.2956622,87.4052646,18.78,-79.477,-114.614
47094,-37.6802456,-39.2940457,87.4074078,18.783,-79.479,-114.618
47102,-37.6803883,-39.2931493,87.4090551,18.782,-79.479,-114.619
47110,-37.6812633,-39.2921104,87.4121238,18.783,-79.48,-114.621
47118,-37.6841235,-39.2924877,87.4162028,18.783,-79.479,-114.618
47126,-37.6896706,-39.2952154,87.4209643,18.781,-79.475,-114.614
47134,-37.6929544,-39.2960951,87.4249421,18.786,-79.48,-114.611
47142,-37.6963829,-39.2974531,87.4284017,18.788,-79.481,-114.607
47150,-37.6978016,-39.2979677,87.4299078,18.787,-79.479,-114.607
47158,-37.6985054,-39.298426,87.4303346,18.786,-79.477,-114.605
47166,-37.6988598,-39.2989908,87.4300227,18.786,-79.477,-114.604
47174,-37.6992141,-39.3002837,87.4285623,18.785,-79.476,-114.601
47182,-37.6992468,-39.3018578,87.426133,18.784,-79.475,-114.598
47190,-37.6977162,-39.3025309,87.422571,18.784,-79.477,-114.597
47198,-37.6962094,-39.3032315,87.4190045,18.784,-79.478,-114.595
47206,-37.6946401,-39.3032015,87.4164878,18.784,-79.478,-114.596
47214,-37.694794,-39.3038788,87.4156712,18.784,-79.476,-114.596
47222,-37.6949556,-39.3045594,87.4148618,18.785,-79.475,-114.595
47230,-37.6924121,-39.3031524,87.4129251,18.784,-79.477,-114.594
47238,-37.6922739,-39.3035408,87.4120868,18.783,-79.478,-114.591
47246,-37.6916164,-39.3028573,87.4120905,18.784,-79.478,-114.592
47254,-37.6908625,-39.3017906,87.4125411,18.786,-79.479,-114.594
47262,-37.6897064,-39.3008154,87.41219,18.787,-79.479,-114.596
47270,-37.6896569,-39.3007311,87.4122422,18.788,-79.478,-114.596
47278,-37.6884745,-39.3000932,87.4113163,18.789,-79.479,-114.598
47286,-37.6884196,-39.2999766,87.4114103,18.79,-79.478,-114.596
47294,-37.6885672,-39.300653,87.4105847,18.787,-79.477,-114.594
47302,-37.6877457,-39.2998825,87.4104576,18.788,-79.478,-114.596
47310,-37.6886659,-39.3002987,87.4113048,18.786,-79.476,-114.597
47318,-37.689554,-39.3003858,87.4126188,18.786,-79.475,-114.597
47326,-37.6889514,-39.2993614,87.4132497,18.787,-79.476,-114.598
47334,-37.6897166,-39.299585,87.4141473,18.786,-79.475,-114.598
47342,-37.6893593,-39.2992143,87.4141482,18.787,-79.477,-114.598
47350,-37.689859,-39.2996809,87.4142287,18.785,-79.477,-114.597
47358,-37.6901996,-39.3001538,87.4140393,18.784,-79.477,-114.597
47366,-37.6907895,-39.299899,87.4154051,18.784,-79.476,-114.599
47374,-37.6921316,-39.300107,87.41727,18.785,-79.475,-114.598
